proceso,emprcodi,pericodi,revision,publicacion_pericodi,componente,monto,origen
LVTA,EMPRESA_001,131,1,132,Valorización de Retiros,-277812.531544,sintetico
LVTA,EMPRESA_001,131,1,132,Ingreso Tarifario y Rentas por Congestión,-19459.823586,sintetico
LVTA,EMPRESA_001,131,2,133,Valorización de Entregas,750736.739086,sintetico
LVTA,EMPRESA_001,131,2,133,Valorización de Retiros,-310110.766816,sintetico
LVTA,EMPRESA_001,131,2,133,Ingreso Tarifario y Rentas por Congestión,-24931.32397,sintetico
LVTA,EMPRESA_001,131,3,138,Valorización de Entregas,710727.860778,sintetico
LVTA,EMPRESA_001,131,3,138,Valorización de Retiros,-280372.231831,sintetico
LVTA,EMPRESA_001,131,3,138,Ingreso Tarifario y Rentas por Congestión,-16275.999247,sintetico
LVTA,EMPRESA_001,132,0,132,Valorización de Entregas,1500117.46902,sintetico
LVTA,EMPRESA_001,132,0,132,Valorización de Retiros,-545259.539977,sintetico
LVTA,EMPRESA_001,132,0,132,Ingreso Tarifario y Rentas por Congestión,-39214.979542,sintetico
LVTA,EMPRESA_001,132,1,133,Valorización de Entregas,1456768.695503,sintetico
LVTA,EMPRESA_001,132,1,133,Valorización de Retiros,-520196.682031,sintetico
LVTA,EMPRESA_001,132,1,133,Ingreso Tarifario y Rentas por Congestión,-45670.888372,sintetico
LVTA,EMPRESA_001,132,2,134,Valorización de Entregas,1427192.729355,sintetico
LVTA,EMPRESA_001,132,2,134,Valorización de Retiros,-505235.893767,sintetico
LVTA,EMPRESA_001,132,2,134,Ingreso Tarifario y Rentas por Congestión,-37994.544887,sintetico
LVTA,EMPRESA_001,132,3,139,Valorización de Entregas,1442186.805752,real
LVTA,EMPRESA_001,132,3,139,Valorización de Retiros,-548472.299535,real
LVTA,EMPRESA_001,132,3,139,Ingreso Tarifario y Rentas por Congestión,-19292.569218,real
LVTA,EMPRESA_001,133,0,133,Valorización de Entregas,1599434.654408,sintetico
LVTA,EMPRESA_001,133,0,133,Valorización de Retiros,-602872.687006,sintetico
LVTA,EMPRESA_001,133,0,133,Ingreso Tarifario y Rentas por Congestión,-13762.178601,sintetico
LVTA,EMPRESA_001,133,1,134,Valorización de Entregas,1484608.285393,sintetico
LVTA,EMPRESA_001,133,1,134,Valorización de Retiros,-518639.633386,sintetico
LVTA,EMPRESA_001,133,1,134,Ingreso Tarifario y Rentas por Congestión,-14638.884607,sintetico
LVTA,EMPRESA_001,133,2,135,Valorización de Entregas,1538027.757032,real
LVTA,EMPRESA_001,133,2,135,Valorización de Retiros,-585032.135128,real
LVTA,EMPRESA_001,133,2,135,Ingreso Tarifario y Rentas por Congestión,-19564.108605,real
LVTA,EMPRESA_001,134,0,134,Valorización de Entregas,982432.566438,sintetico
LVTA,EMPRESA_001,134,0,134,Valorización de Retiros,-132912.00101,sintetico
LVTA,EMPRESA_001,134,0,134,Ingreso Tarifario y Rentas por Congestión,-33119.319728,sintetico
LVTA,EMPRESA_001,134,1,135,Valorización de Entregas,997752.275353,real
LVTA,EMPRESA_001,134,1,135,Valorización de Retiros,-129243.956159,real
LVTA,EMPRESA_001,134,1,135,Ingreso Tarifario y Rentas por Congestión,-40916.691994,real
LVTA,EMPRESA_001,135,0,135,Valorización de Entregas,320981.988828,sintetico
LVTA,EMPRESA_001,135,0,135,Valorización de Retiros,-45926.140681,sintetico
LVTA,EMPRESA_001,135,0,135,Ingreso Tarifario y Rentas por Congestión,14670.902153,sintetico
LVTA,EMPRESA_001,135,1,136,Valorización de Entregas,306309.761272,sintetico
LVTA,EMPRESA_001,135,1,136,Valorización de Retiros,-43119.512652,sintetico
LVTA,EMPRESA_001,135,1,136,Ingreso Tarifario y Rentas por Congestión,14051.974379,sintetico
LVTA,EMPRESA_001,135,2,137,Valorización de Entregas,302706.701936,real
LVTA,EMPRESA_001,135,2,137,Valorización de Retiros,-39421.95259,real
LVTA,EMPRESA_001,135,2,137,Ingreso Tarifario y Rentas por Congestión,18620.723853,real
LVTA,EMPRESA_001,136,0,136,Valorización de Entregas,910576.525855,sintetico
LVTA,EMPRESA_001,136,0,136,Valorización de Retiros,-196544.457381,sintetico
LVTA,EMPRESA_001,136,0,136,Ingreso Tarifario y Rentas por Congestión,-7157.870173,sintetico
LVTA,EMPRESA_001,136,1,137,Valorización de Entregas,904165.947861,real
LVTA,EMPRESA_001,136,1,137,Valorización de Retiros,-165600.60479,real
LVTA,EMPRESA_001,136,1,137,Ingreso Tarifario y Rentas por Congestión,-19899.311671,real
LVTA,EMPRESA_001,137,0,137,Valorización de Entregas,2463781.404982,sintetico
LVTA,EMPRESA_001,137,0,137,Valorización de Retiros,-1094175.007785,sintetico
LVTA,EMPRESA_001,137,0,137,Ingreso Tarifario y Rentas por Congestión,202168.903403,sintetico
LVTA,EMPRESA_001,137,1,138,Valorización de Entregas,2624104.408794,real
LVTA,EMPRESA_001,137,1,138,Valorización de Retiros,-1151949.664539,real
LVTA,EMPRESA_001,137,1,138,Ingreso Tarifario y Rentas por Congestión,191669.010145,real
LVTA,EMPRESA_001,138,0,138,Valorización de Entregas,1958945.830055,sintetico
LVTA,EMPRESA_001,138,0,138,Valorización de Retiros,-358864.532745,sintetico
LVTA,EMPRESA_001,138,0,138,Ingreso Tarifario y Rentas por Congestión,10444.35829,sintetico
LVTA,EMPRESA_001,138,1,139,Valorización de Entregas,1876170.706769,real
LVTA,EMPRESA_001,138,1,139,Valorización de Retiros,-248235.343359,real
LVTA,EMPRESA_001,138,1,139,Ingreso Tarifario y Rentas por Congestión,2323.60949,real
LVTA,EMPRESA_001,139,0,139,Valorización de Entregas,1920456.151827,real
LVTA,EMPRESA_001,139,0,139,Valorización de Retiros,-799515.567187,real
LVTA,EMPRESA_001,139,0,139,Ingreso Tarifario y Rentas por Congestión,161675.541259,real
LVTA,EMPRESA_002,120,0,120,Valorización de Entregas,22119.164272,sintetico
LVTA,EMPRESA_002,120,0,120,Valorización de Retiros,-94107.547868,sintetico
LVTA,EMPRESA_002,120,0,120,Ingreso Tarifario y Rentas por Congestión,-2780.297504,sintetico
LVTA,EMPRESA_002,120,1,121,Valorización de Entregas,17511.475774,sintetico
LVTA,EMPRESA_002,120,1,121,Valorización de Retiros,-85799.186118,sintetico
LVTA,EMPRESA_002,120,1,121,Ingreso Tarifario y Rentas por Congestión,-2352.737157,sintetico
LVTA,EMPRESA_002,120,2,122,Valorización de Entregas,19188.795711,sintetico
LVTA,EMPRESA_002,120,2,122,Valorización de Retiros,-91277.023541,sintetico
LVTA,EMPRESA_002,120,2,122,Ingreso Tarifario y Rentas por Congestión,-188.754769,sintetico
LVTA,EMPRESA_002,120,3,123,Valorización de Entregas,20740.114303,sintetico
LVTA,EMPRESA_002,120,3,123,Valorización de Retiros,-90968.062316,sintetico
LVTA,EMPRESA_002,120,3,123,Ingreso Tarifario y Rentas por Congestión,-1514.019687,sintetico
LVTA,EMPRESA_002,120,4,125,Valorización de Entregas,18235.295493,sintetico
LVTA,EMPRESA_002,120,4,125,Valorización de Retiros,-88104.26369,sintetico
LVTA,EMPRESA_002,120,4,125,Ingreso Tarifario y Rentas por Congestión,-1480.801403,sintetico
LVTA,EMPRESA_002,121,0,121,Valorización de Entregas,23378.026789,sintetico
LVTA,EMPRESA_002,121,0,121,Valorización de Retiros,-110336.518454,sintetico
LVTA,EMPRESA_002,121,0,121,Ingreso Tarifario y Rentas por Congestión,8288.273165,sintetico
LVTA,EMPRESA_002,121,1,122,Valorización de Entregas,21309.14839,sintetico
LVTA,EMPRESA_002,121,1,122,Valorización de Retiros,-103682.697233,sintetico
LVTA,EMPRESA_002,121,1,122,Ingreso Tarifario y Rentas por Congestión,6234.128842,sintetico
LVTA,EMPRESA_002,121,2,123,Valorización de Entregas,20901.805679,sintetico
LVTA,EMPRESA_002,121,2,123,Valorización de Retiros,-103435.138012,sintetico
LVTA,EMPRESA_002,121,2,123,Ingreso Tarifario y Rentas por Congestión,8040.153233,sintetico
LVTA,EMPRESA_002,121,3,124,Valorización de Entregas,24557.013296,sintetico
LVTA,EMPRESA_002,121,3,124,Valorización de Retiros,-107489.326605,sintetico
LVTA,EMPRESA_002,121,3,124,Ingreso Tarifario y Rentas por Congestión,8053.755009,sintetico
LVTA,EMPRESA_002,121,4,127,Valorización de Entregas,22880.02344,sintetico
LVTA,EMPRESA_002,121,4,127,Valorización de Retiros,-105788.39809,sintetico
LVTA,EMPRESA_002,121,4,127,Ingreso Tarifario y Rentas por Congestión,8424.50515,sintetico
LVTA,EMPRESA_002,122,0,122,Valorización de Entregas,57193.521934,sintetico
LVTA,EMPRESA_002,122,0,122,Valorización de Retiros,-257508.641004,sintetico
LVTA,EMPRESA_002,122,0,122,Ingreso Tarifario y Rentas por Congestión,-5772.68833,sintetico
LVTA,EMPRESA_002,122,1,123,Valorización de Entregas,55620.280388,sintetico
LVTA,EMPRESA_002,122,1,123,Valorización de Retiros,-256082.342379,sintetico
LVTA,EMPRESA_002,122,1,123,Ingreso Tarifario y Rentas por Congestión,-3168.124909,sintetico
LVTA,EMPRESA_002,122,2,124,Valorización de Entregas,72214.502616,sintetico
LVTA,EMPRESA_002,122,2,124,Valorización de Retiros,-272083.845834,sintetico
LVTA,EMPRESA_002,122,2,124,Ingreso Tarifario y Rentas por Congestión,-9494.271682,sintetico
LVTA,EMPRESA_002,122,3,126,Valorización de Entregas,61193.512533,sintetico
LVTA,EMPRESA_002,122,3,126,Valorización de Retiros,-261897.258485,sintetico
LVTA,EMPRESA_002,122,3,126,Ingreso Tarifario y Rentas por Congestión,-7282.172248,sintetico
LVTA,EMPRESA_002,122,4,129,Valorización de Entregas,63862.748204,sintetico
LVTA,EMPRESA_002,122,4,129,Valorización de Retiros,-267554.449703,sintetico
LVTA,EMPRESA_002,122,4,129,Ingreso Tarifario y Rentas por Congestión,-5948.386501,sintetico
LVTA,EMPRESA_002,123,0,123,Valorización de Entregas,33480.523147,sintetico
LVTA,EMPRESA_002,123,0,123,Valorización de Retiros,-77518.865775,sintetico
LVTA,EMPRESA_002,123,0,123,Ingreso Tarifario y Rentas por Congestión,247.747228,sintetico
LVTA,EMPRESA_002,123,1,124,Valorización de Entregas,32197.210776,sintetico
LVTA,EMPRESA_002,123,1,124,Valorización de Retiros,-77843.044526,sintetico
LVTA,EMPRESA_002,123,1,124,Ingreso Tarifario y Rentas por Congestión,1277.33225,sintetico
LVTA,EMPRESA_002,123,2,125,Valorización de Entregas,30991.234494,sintetico
LVTA,EMPRESA_002,123,2,125,Valorización de Retiros,-76672.748865,sintetico
LVTA,EMPRESA_002,123,2,125,Ingreso Tarifario y Rentas por Congestión,1077.335171,sintetico
LVTA,EMPRESA_002,123,3,128,Valorización de Entregas,33255.491261,sintetico
LVTA,EMPRESA_002,123,3,128,Valorización de Retiros,-79466.717213,sintetico
LVTA,EMPRESA_002,123,3,128,Ingreso Tarifario y Rentas por Congestión,955.082052,sintetico
LVTA,EMPRESA_002,123,4,132,Valorización de Entregas,35352.424204,sintetico
LVTA,EMPRESA_002,123,4,132,Valorización de Retiros,-82027.059092,sintetico
LVTA,EMPRESA_002,123,4,132,Ingreso Tarifario y Rentas por Congestión,1643.987387,sintetico
LVTA,EMPRESA_002,124,0,124,Valorización de Entregas,34910.329313,sintetico
LVTA,EMPRESA_002,124,0,124,Valorización de Retiros,-103173.205107,sintetico
LVTA,EMPRESA_002,124,0,124,Ingreso Tarifario y Rentas por Congestión,6400.442294,sintetico
LVTA,EMPRESA_002,124,1,125,Valorización de Entregas,32822.362326,sintetico
LVTA,EMPRESA_002,124,1,125,Valorización de Retiros,-105401.052718,sintetico
LVTA,EMPRESA_002,124,1,125,Ingreso Tarifario y Rentas por Congestión,9217.459192,sintetico
LVTA,EMPRESA_002,124,2,126,Valorización de Entregas,36961.654215,sintetico
LVTA,EMPRESA_002,124,2,126,Valorización de Retiros,-112646.565945,sintetico
LVTA,EMPRESA_002,124,2,126,Ingreso Tarifario y Rentas por Congestión,10481.69403,sintetico
LVTA,EMPRESA_002,124,3,130,Valorización de Entregas,34377.891323,sintetico
LVTA,EMPRESA_002,124,3,130,Valorización de Retiros,-109250.734246,sintetico
LVTA,EMPRESA_002,124,3,130,Ingreso Tarifario y Rentas por Congestión,10079.341123,sintetico
LVTA,EMPRESA_002,124,4,135,Valorización de Entregas,35928.925191,sintetico
LVTA,EMPRESA_002,124,4,135,Valorización de Retiros,-108210.219797,sintetico
LVTA,EMPRESA_002,124,4,135,Ingreso Tarifario y Rentas por Congestión,7866.602206,sintetico
LVTA,EMPRESA_002,125,0,125,Valorización de Entregas,139409.096251,sintetico
LVTA,EMPRESA_002,125,0,125,Valorización de Retiros,-515388.611246,sintetico
LVTA,EMPRESA_002,125,0,125,Ingreso Tarifario y Rentas por Congestión,14748.237595,sintetico
LVTA,EMPRESA_002,125,1,126,Valorización de Entregas,173225.134723,sintetico
LVTA,EMPRESA_002,125,1,126,Valorización de Retiros,-555277.168852,sintetico
LVTA,EMPRESA_002,125,1,126,Ingreso Tarifario y Rentas por Congestión,13901.632229,sintetico
LVTA,EMPRESA_002,125,2,127,Valorización de Entregas,154715.666657,sintetico
LVTA,EMPRESA_002,125,2,127,Valorización de Retiros,-534152.090871,sintetico
LVTA,EMPRESA_002,125,2,127,Ingreso Tarifario y Rentas por Congestión,5019.657014,sintetico
LVTA,EMPRESA_002,125,3,131,Valorización de Entregas,173415.107362,sintetico
LVTA,EMPRESA_002,125,3,131,Valorización de Retiros,-552151.254168,sintetico
LVTA,EMPRESA_002,125,3,131,Ingreso Tarifario y Rentas por Congestión,6631.071906,sintetico
LVTA,EMPRESA_002,125,4,136,Valorización de Entregas,162202.791827,sintetico
LVTA,EMPRESA_002,125,4,136,Valorización de Retiros,-546530.466054,sintetico
LVTA,EMPRESA_002,125,4,136,Ingreso Tarifario y Rentas por Congestión,14774.711327,sintetico
