barrcodi,barrnombre,barrtension,lat,lon,metodo
28,TINGO MARIA 138,138,-9.370000000000001,-76.07,localidad:TINGO MARIA
29,TINGO MARIA 220,220,-9.335,-76.07,localidad:TINGO MARIA
30,HUANUCO 138,138,-10.0,-76.30999999999999,localidad:HUANUCO
31,PARAGSHA2 138,138,-10.75,-76.33,localidad:PARAGSHA
32,VIZCARRA 220,220,-9.97,-76.77,localidad:VIZCARRA
33,MILPO 50,,-10.82,-76.27,localidad:MILPO
34,SAM 13.8,,-11.635,-76.22,localidad:SAM
35,OROYA NUEVA 220,220,-11.555,-75.97,localidad:OROYA
36,AGUAYTIA 220,220,-9.11,-75.58,localidad:AGUAYTIA
37,ICA 220,220,-14.14,-75.8,localidad:ICA
38,MARCONA 220,220,-15.43,-75.22999999999999,localidad:MARCONA
39,SAN MATEO 50,50,-11.83,-76.36999999999999,localidad:SAN MATEO
40,BELLAVISTA 50,,-11.69,-76.19,localidad:BELLAVISTA
41,ROSAURA 50,50,-11.72,-76.27,localidad:ROSAURA
42,ANTUQUITO 50,,-11.69,-76.22,localidad:ANTUQUITO
43,TICLIO 50,50,-11.67,-76.25,localidad:TICLIO
44,MOROCOCHA 50,50,-11.67,-76.21,localidad:MOROCOCHA
45,PACHACHACA 50,50,-11.685,-76.02,localidad:PACHACHACA
46,CASAPALCA 50,,-11.72,-76.3,localidad:CASAPALCA
47,CASAPALCA NORTE 50,,-11.685,-76.3,localidad:CASAPALCA
48,YAULI 50,,-11.74,-76.16,localidad:YAULI
49,PARAGSHA 50,,-10.715,-76.33,localidad:PARAGSHA
50,SOCABAYA 220,220,-16.52,-71.6,localidad:SOCABAYA
51,SOCABAYA 138,138,-16.485,-71.6,localidad:SOCABAYA
52,CERRO VERDE 138,138,-16.6,-71.66999999999999,localidad:CERRO VERDE
53,MOQUEGUA 220,220,-17.26,-71.0,localidad:MOQUEGUA
54,TOQUEPALA 138,138,-17.32,-70.72,localidad:TOQUEPALA
55,LOS HEROES 220,220,-18.080000000000002,-70.32,localidad:LOS HEROES
56,SANTUARIO 138,138,-16.47,-71.57,localidad:SANTUARIO
57,CALLALLI 138,138,-15.57,-71.50999999999999,localidad:CALLALLI
58,TINTAYA EXISTENTE 138,138,-14.99,-71.39999999999999,localidad:TINTAYA
59,PUNO 220,220,-15.91,-70.08999999999999,localidad:PUNO
60,DOLORESPATA 138,138,-13.6,-72.03999999999999,localidad:DOLORESPATA
61,QUENCORO 138,138,-13.620000000000001,-71.97,localidad:QUENCORO
62,AYAVIRI 138,138,-14.950000000000001,-70.66,localidad:AYAVIRI
63,AZANGARO 138,138,-14.98,-70.27,localidad:AZANGARO
64,MOLLENDO 138,138,-17.09,-72.08,localidad:MOLLENDO
65,REPARTICION 138,138,-16.62,-71.97,localidad:REPARTICION
66,TALARA 13.8,,-4.615,-81.33999999999999,localidad:TALARA
67,TALARA 13.2,13.2,-4.58,-81.33999999999999,localidad:TALARA
68,JULIACA 138,138,-15.57,-70.19999999999999,localidad:JULIACA
69,ILOTV12,,-17.71,-71.41,localidad:ILO
70,ILOTV2,,-17.675,-71.41,localidad:ILO
71,ILOTV3,13.8,-17.64,-71.41,localidad:ILO
72,ILOTV4,13.8,-17.605,-71.41,localidad:ILO
73,CT ILO2 17,17,-17.57,-71.41,localidad:ILO
74,CARHUAMAYO NUEVA 220,220,-10.955,-76.11999999999999,localidad:CARHUAMAYO
75,CANTERA 220,220,-12.27,-76.97,localidad:CANTERA
76,ZORRITOS 220,220,-3.75,-80.74,localidad:ZORRITOS
77,PIURA OESTE 60,60,-5.2250000000000005,-80.69999999999999,localidad:PIURA OESTE
78,EXCELSIOR 2.4,2.4,-11.620000000000001,-76.27,localidad:EXCELSIOR
79,EXPD 2.4,,-11.585,-76.27,localidad:EXPD
80,CASA PIEDRA 12,12,-11.67,-76.27,localidad:CASA PIEDRA
81,SAN JUAN 11,11,-12.185,-77.03999999999999,localidad:SAN JUAN
82,SAN JUAN 2.4,2.4,-12.15,-77.03999999999999,localidad:SAN JUAN
84,HUANCHOR 10,10,-11.77,-76.47,localidad:HUANCHOR
85,DESIERTO 220,220,-12.47,-76.86999999999999,localidad:DESIERTO
86,POMACOCHA 220,220,-11.57,-76.07,localidad:POMACOCHA
87,PARAGSHA2 220,220,-10.68,-76.33,localidad:PARAGSHA
88,SAN CRISTOBAL 4.16,4.16,-11.790000000000001,-76.13999999999999,localidad:SAN CRISTOBAL
90,MAHR TUNEL 2.4,2.4,-11.74,-76.16999999999999,localidad:MAHR TUNEL
91,SAN CRISTOBAL 2.4,2.4,-11.755,-76.13999999999999,localidad:SAN CRISTOBAL
92,ANDAYCHAGUA 4.16,4.16,-11.82,-76.11999999999999,localidad:ANDAYCHAGUA
93,SAN ANTONIO 4.16,,-12.97,-76.07,localidad:SAN ANTONIO
94,SAN ANTONIO 50,50,-12.935,-76.07,localidad:SAN ANTONIO
95,CONCENTRADORA 50,50,-11.75,-76.16999999999999,localidad:CONCENTRADORA
96,MINA CARAHUACRA 50,50,-15.370000000000001,-75.16999999999999,localidad:MINA
97,CHILINA 33,33,-16.43,-71.6,localidad:CHILINA
98,AZULCOCHA 69,,-11.77,-76.14999999999999,localidad:AZULCOCHA
99,YAUPI 13.8,13.8,-10.97,-75.47,localidad:YAUPI
100,COBRIZA II 69,69,-7.0,-79.64999999999999,localidad:ZA
101,COBRIZA II 10,10,-6.965,-79.64999999999999,localidad:ZA
102,COBRIZA I 69,69,-6.93,-79.64999999999999,localidad:ZA
103,HUAYUCACH 60,60,-12.165000000000001,-75.28999999999999,localidad:HUAYUCACH
104,HUANCAVE 60,60,-12.825,-75.05,localidad:HUANCAVE
105,HUNCAVE 10,,-12.79,-75.05,localidad:HUNCAVE
106,UACAYA 138,,-12.07,-75.07,nominal
107,TRUJILLO 138,138,-8.145,-79.1,localidad:TRUJILLO
110,CHIMBOTE 13.8,13.8,-9.115,-78.64999999999999,localidad:CHIMBOTE
111,HUALLANCA 66,66,-8.855,-77.92999999999999,localidad:HUALLANCA
113,CHIMBOTE1 138,138,-9.08,-78.64999999999999,localidad:CHIMBOTE
114,CHIMBOTE2 138,138,-9.045,-78.64999999999999,localidad:CHIMBOTE
115,GUADALUPE 60,60,-7.275,-79.53999999999999,localidad:GUADALUPE
116,GUADALUPE 10,10,-7.24,-79.53999999999999,localidad:GUADALUPE
117,CHICLAYO 60,60,-6.805,-79.91,localidad:CHICLAYO
119,INDEPENDENCIA 10,10,-13.735,-76.27,localidad:INDEPENDENCIA
120,ICA 60,10,-14.105,-75.8,localidad:ICA
121,ICA 10,10,-14.07,-75.8,localidad:ICA
122,MARCONA 60,60,-15.395,-75.22999999999999,localidad:MARCONA
123,PUNO 60,60,-15.875,-70.08999999999999,localidad:PUNO
124,PUNO 22.9,22.9,-15.84,-70.08999999999999,localidad:PUNO
125,JULIACA 10,10,-15.535,-70.19999999999999,localidad:JULIACA
126,AYAVIRI 22.9,22.9,-14.915000000000001,-70.66,localidad:AYAVIRI
127,AYAVIRI 10,10,-14.88,-70.66,localidad:AYAVIRI
128,AZANGARO 22.9,22.9,-14.945,-70.27,localidad:AZANGARO
129,ANTAUTA 60,,-14.370000000000001,-70.36999999999999,localidad:ANTAUTA
131,QUENCORO 10.5,10.5,-13.585,-71.97,localidad:QUENCORO
132,QUENCORO 33,33,-13.55,-71.97,localidad:QUENCORO
134,PUCALLPA 60,60,-8.450000000000001,-74.61999999999999,localidad:PUCALLPA
135,AGUAYTIA 138,138,-9.075,-75.58,localidad:AGUAYTIA
136,SOCABAYA 33,33,-16.45,-71.6,localidad:SOCABAYA
137,CHARCANI V 13.8,13.8,-16.37,-71.57,localidad:CHARCANI
139,ÑAÑA 60,60,-12.06,-76.89999999999999,localidad:ÑAÑA
140,HUACHIPA 60,60,-12.07,-77.0,localidad:HUACHIPA
141,SALAMANCA 60,60,-12.15,-77.05,localidad:SALAMANCA
142,BALNEARIOS 60,,-12.27,-77.07,localidad:BALNEARIOS
143,MOYOPAMPA 60,60,-12.01,-76.77,localidad:MOYOPAMPA
144,CALLAHUANCA 10,10,-11.91,-76.69,localidad:CALLAHUANCA
145,ANDAHUASI 22.9,22.9,-11.22,-77.27,localidad:ANDAHUASI
146,MOQUEGUA 138,138,-17.225,-71.0,localidad:MOQUEGUA
147,CT ILO 138,,-17.71,-71.375,localidad:ILO
148,TOMASIRI 66,66,-17.97,-70.57,localidad:TOMASIRI
149,SARITA 33,33,-17.67,-70.07,localidad:SARITA
150,ARICOTA1,,-17.47,-70.36999999999999,localidad:ARICOTA
151,ARICOTA2 138,138,-17.435,-70.36999999999999,localidad:ARICOTA
153,PIURA CENTRO 10,10,-5.19,-80.69999999999999,localidad:PIURA
155,SHELBY 50,,-10.77,-76.27,localidad:SHELBY
156,CH OROYA 2.3,,-11.52,-75.97,localidad:CH OROYA
157,PZINC 50,,-10.76,-76.32,localidad:PZINC
158,MAYUPAMPA 50,,-11.620000000000001,-76.25,localidad:MAYUPAMPA
159,ALAMBRON 50,50,-11.59,-75.99,localidad:ALAMBRON
161,INDEPENDENCIA 60,60,-13.7,-76.27,localidad:INDEPENDENCIA
162,SANTA ROSA 60,60,-12.065,-77.13,localidad:SANTA ROSA
163,LOS HEROES 66,66,-18.045,-70.32,localidad:LOS HEROES
164,TRUJILLO NORTE 10,10,-8.11,-79.1,localidad:TRUJILLO
165,ZORRITOS 60,60,-3.7150000000000003,-80.74,localidad:ZORRITOS
166,AUCAYACU 22.9,22.9,-9.0,-76.17999999999999,localidad:AUCAYACU
167,CONDORCOCHA 44,44,-11.47,-76.16999999999999,localidad:CONDORCOCHA
168,HUANUCO 22.9,22.9,-9.965,-76.30999999999999,localidad:HUANUCO
169,HUANUCO 10,10,-9.93,-76.30999999999999,localidad:HUANUCO
170,HUAYUCACH 10,10,-12.13,-75.28999999999999,localidad:HUAYUCACH
171,TINGO MARIA 10,10,-9.3,-76.07,localidad:TINGO MARIA
172,AGUAYTIA 22.9,220,-9.04,-75.58,localidad:AGUAYTIA
173,TOCACHE 22.9,22.9,-8.26,-76.58,localidad:TOCACHE
174,SAN GABAN 13.8,13.8,-13.5,-70.47,localidad:SAN GABAN
175,CPATO 13.8,13.8,-12.02,-77.07,localidad:CPATO
176,LA FUNDICION 50,50,-11.485,-75.97,localidad:LA FUNDICION
177,ANTAGASHA 50,50,-11.65,-76.11999999999999,localidad:ANTAGASHA
178,PARAGSHA 12,12,-10.645,-76.33,localidad:PARAGSHA
179,HUICRA 50,50,-11.97,-76.61999999999999,localidad:HUICRA
180,SHELBYCHU 50,50,-10.735,-76.27,localidad:SHELBY
181,HUARON 50,50,-11.07,-76.49,localidad:HUARON
182,COMBAPATA 138,138,-14.17,-71.5,localidad:COMBAPATA
183,PARAMONGA EXISTENTE 138,138,-10.705,-77.89999999999999,localidad:PARAMONGA
184,LA NIÑA 220,220,-5.970000000000001,-80.57,localidad:LA NIÑA
185,CERRO CORONA 220,220,-6.82,-78.66999999999999,localidad:CERRO CORONA
186,CAJAMARCA 220,220,-7.23,-78.58,localidad:CAJAMARCA
187,YARINA 10,,-8.47,-74.66999999999999,localidad:YARINA
188,PUCALLPA 138,138,-8.415000000000001,-74.61999999999999,localidad:PUCALLPA
189,PORCON 10,10,-7.07,-78.66999999999999,localidad:PORCON
190,LA PAJUELA 22.9,22.9,-7.07,-78.57,localidad:LA PAJUELA
191,PUNO 138,138,-15.805,-70.08999999999999,localidad:PUNO
192,PARAMONGA EXISTENTE 13.8,13.8,-10.67,-77.89999999999999,localidad:PARAMONGA
193,HUICRA 2.4,2.4,-11.935,-76.61999999999999,localidad:HUICRA
194,PARAMONGA NUEVA 66,66,-10.635,-77.89999999999999,localidad:PARAMONGA
195,CONOCOCHA 220,,-10.19,-77.35,localidad:CONOCOCHA
196,CARABAYLLO 220,220,-11.93,-77.1,localidad:CARABAYLLO
197,CARABAYLLO 500,,-11.895,-77.1,localidad:CARABAYLLO
198,CHILCA 500,500,-12.59,-76.80999999999999,localidad:CHILCA
199,PLANICIE 220,220,-12.15,-76.91999999999999,localidad:PLANICIE
206,KIMAN AYLLU 138,138,-9.27,-77.82,localidad:KIMAN AYLLU
207,KIMANAYLLU 220,220,-9.235,-77.82,localidad:KIMANAYLLU
208,TOCACHE 138,138,-8.225,-76.58,localidad:TOCACHE
209,MACHUPICCHU 138,138,-13.23,-72.61999999999999,localidad:MACHUPICCHU
210,CACHIMAYO 138,138,-13.52,-72.11999999999999,localidad:CACHIMAYO
211,GALLITO CIEGO 60,60,-7.29,-79.24,localidad:GALLITO CIEGO
212,MALPASO 50,50,-11.47,-76.07,localidad:MALPASO
213,JULIACA 60,,-15.5,-70.19999999999999,localidad:JULIACA
214,JULIACA 22.9,22.9,-15.465,-70.19999999999999,localidad:JULIACA
215,ANDAYCHAGUA 50,50,-11.785,-76.11999999999999,localidad:ANDAYCHAGUA
216,CHIMBOTE 500,,-9.01,-78.64999999999999,localidad:CHIMBOTE
218,HUANZA 220,220,-11.620000000000001,-76.57,localidad:HUANZA
219,ILO2 220,220,-17.675,-71.375,localidad:ILO
220,CHILCA CTM 220,,-12.555,-76.80999999999999,localidad:CHILCA
221,POROMA 500,500,-14.67,-75.07,localidad:POROMA
223,MONTALVO 220,220,-17.17,-70.97,localidad:MONTALVO
224,LOMERA 220,220,-11.57,-77.27,localidad:LOMERA
225,INDUSTRIALES 220,220,-12.09,-77.07,localidad:INDUSTRIALES
226,PBLANCA 138,,-12.035,-75.07,nominal
227,ARICOTA 66,66,-17.4,-70.36999999999999,localidad:ARICOTA
228,COTARUSE 220,220,-14.47,-73.27,localidad:COTARUSE
229,TINTAYA NUEVA 220,220,-14.955,-71.39999999999999,localidad:TINTAYA
230,ABANCAY 138,138,-13.700000000000001,-72.94999999999999,localidad:ABANCAY
231,ABANCAY 220,220,-13.665000000000001,-72.94999999999999,localidad:ABANCAY
232,AGUAYTIA 13.8,13.8,-9.004999999999999,-75.58,localidad:AGUAYTIA
233,AIPSA 13.8,13.8,-11.17,-77.66999999999999,localidad:AIPSA
234,ANDAHUASI 66,66,-11.185,-77.27,localidad:ANDAHUASI
235,ANDAYELC 50,,-12.0,-75.07,nominal
236,ANTUQUITO 2.4,2.4,-11.655,-76.22,localidad:ANTUQUITO
237,ARCATA 33,,-15.120000000000001,-72.36999999999999,localidad:ARCATA
238,ARCATA 66,,-15.085,-72.36999999999999,localidad:ARCATA
239,ARENAL 60,,-9.17,-78.52,localidad:ARENAL
240,ARES 138,138,-15.17,-72.16999999999999,localidad:ARES
241,ARICOTA1 66,66,-17.365,-70.36999999999999,localidad:ARICOTA
242,ARICOTA1 10.5,10.5,-17.33,-70.36999999999999,localidad:ARICOTA
244,ARICOTA2 10.5,10.5,-17.47,-70.335,localidad:ARICOTA
245,AZANGARO 220,,-14.91,-70.27,localidad:AZANGARO
246,AZANGARO 60,60,-14.875,-70.27,localidad:AZANGARO
247,BALNEARIOS 220,,-12.235,-77.07,localidad:BALNEARIOS
248,BELLALCO 2.4,2.4,-11.965,-75.07,nominal
249,BELLAVISTA 2.4,,-11.655,-76.19,localidad:BELLAVISTA
250,BELLAVISTA 10,,-11.62,-76.19,localidad:BELLAVISTA
251,BELLAVISTA 60,,-11.584999999999999,-76.19,localidad:BELLAVISTA
252,BOTIFLACA 138,138,-17.07,-70.86999999999999,localidad:BOTIFLACA
253,BUENA VISTA 50,,-11.93,-75.07,nominal
254,CAHUA 10,10,-10.74,-77.38999999999999,localidad:CAHUA
255,CAHUA 138,138,-10.705,-77.38999999999999,localidad:CAHUA
256,CAJAMARCA NORTE 60,60,-7.195,-78.58,localidad:CAJAMARCA
258,CALLAHUANCA 60,60,-11.875,-76.69,localidad:CALLAHUANCA
259,CALLALLI 24,,-15.535,-71.50999999999999,localidad:CALLALLI
260,CALLALLI 66,,-15.5,-71.50999999999999,localidad:CALLALLI
261,CANTERA 60,,-12.235,-76.97,localidad:CANTERA
262,CARAPONGO 220,220,-12.05,-76.94,localidad:CARAPONGO
263,CARAZ 66,,-9.120000000000001,-77.88,localidad:CARAZ
264,CARHUAMAYO 50,,-10.92,-76.11999999999999,localidad:CARHUAMAYO
265,CARHUAQUERO 10,10,-6.585,-79.36999999999999,localidad:CARHUAQUERO
266,CARHUAQUERO 138,138,-6.55,-79.36999999999999,localidad:CARHUAQUERO
267,CARPAPATA 44,,-11.32,-75.61999999999999,localidad:CARPAPATA
268,CARPAPATA 72,,-11.285,-75.61999999999999,localidad:CARPAPATA
269,CASAPALCA 2.4,2.4,-11.65,-76.3,localidad:CASAPALCA
270,CASAPALCA 4.16,,-11.615,-76.3,localidad:CASAPALCA
271,CATKATO 4.16,4.16,-12.07,-75.035,nominal
272,CAUDIVILLA 60,,-11.97,-77.11999999999999,localidad:CAUDIVILLA
273,CAYLLOMA 15,,-15.25,-71.83999999999999,localidad:CAYLLOMA
274,CAYLLOMA 66,,-15.215,-71.83999999999999,localidad:CAYLLOMA
275,CT CHIMBOTE 13.8,,-9.15,-78.615,localidad:CHIMBOTE
276,CHARCANI IV 33,33,-16.335,-71.57,localidad:CHARCANI
277,CHARCANI IV 5.25,,-16.3,-71.57,localidad:CHARCANI
278,CHARCANI I 5.25,5.25,-16.265,-71.57,localidad:CHARCANI
279,CHARCANI V 13.8_old,13.8,-16.23,-71.57,localidad:CHARCANI
280,CHARCANI VI 33,33,-16.37,-71.535,localidad:CHARCANI
281,CHARCANI VI 5.25,,-16.335,-71.535,localidad:CHARCANI
282,CHAVARRIA 60,60,-12.035,-77.16999999999999,localidad:CHAVARRIA
283,CHICLAYO 10,,-6.77,-79.91,localidad:CHICLAYO
284,CHICLAYO NORTE 10.5,,-6.734999999999999,-79.91,localidad:CHICLAYO
285,CHICLAYO NORTE 60,,-6.699999999999999,-79.91,localidad:CHICLAYO
286,CHILCA 60,,-12.52,-76.80999999999999,localidad:CHILCA
287,CHILCA I 16,16,-12.485,-76.80999999999999,localidad:CHILCA
288,CHILCA UNO 220,220,-12.45,-76.80999999999999,localidad:CHILCA
289,CHILINAD 10.5,10.5,-16.395,-71.6,localidad:CHILINA
290,CHILINA 138,138,-16.36,-71.6,localidad:CHILINA
291,CHILINATG 13.8,13.8,-16.325,-71.6,localidad:CHILINA
292,CHILINATV 10.5,,-16.29,-71.6,localidad:CHILINA
293,CHILINA TV 5.25,,-16.43,-71.565,localidad:CHILINA
294,CHILLON 220,,-11.92,-77.11999999999999,localidad:CHILLON
295,CHILLON 60,,-11.885,-77.11999999999999,localidad:CHILLON
296,CHIMAY 13.8,13.8,-11.27,-75.57,localidad:CHIMAY
297,CHIMAY 220,220,-11.235,-75.57,localidad:CHIMAY
298,CHOSICA 10,10,-14.035,-75.8,localidad:ICA
299,CHOSICA 60,60,-14.0,-75.8,localidad:ICA
300,CHUMPE 12,12,-12.035,-75.035,nominal
301,CHUMPE 2.4,,-12.0,-75.035,nominal
302,CHUMPE 69,60,-11.965,-75.035,nominal
303,CINCO MANANTIALES,,-11.93,-75.035,nominal
304,CONCEPCION 60,60,-12.07,-75.0,nominal
305,CONDORCOCHA 72,,-11.435,-76.16999999999999,localidad:CONDORCOCHA
306,CONDORCOCHA 138,138,-11.4,-76.16999999999999,localidad:CONDORCOCHA
307,CT INDEPENDENCIA 60,60,-13.665,-76.27,localidad:INDEPENDENCIA
308,CT PISCO 60,60,-13.790000000000001,-76.27,localidad:CT PISCO
309,CURIP 50,,-12.035,-75.0,nominal
310,CUTERVO 138,138,-6.45,-78.88999999999999,localidad:CUTERVO
311,DOLORESPATA 10.5,10.5,-13.565,-72.03999999999999,localidad:DOLORESPATA
312,EMERG_NORTE,,-12.0,-75.0,nominal
313,ESPINA COLOR,,-11.965,-75.0,nominal
314,EXCELSIOR 50,50,-11.55,-76.27,localidad:EXCELSIOR
315,FENIX 18,18,-12.6,-76.8,localidad:FENIX
316,FENIX 500,500,-12.565,-76.8,localidad:FENIX
317,Francoise 220,,-11.93,-75.0,nominal
318,GALLITO CIEGO 10.5,10.5,-7.255,-79.24,localidad:GALLITO CIEGO
319,GOYLLAR,,-12.07,-74.965,nominal
320,HUACHO 66,66,-11.145,-77.67999999999999,localidad:HUACHO
321,HUAMPANI 10,,-12.0,-76.89999999999999,localidad:HUAMPANI
322,HUAMPANI 60,60,-11.965,-76.89999999999999,localidad:HUAMPANI
323,HUANCHOR 50,50,-11.735,-76.47,localidad:HUANCHOR
324,HUARAZ OESTE 138,138,-12.035,-74.965,nominal
325,HUARAZ OESTE 60,60,-12.0,-74.965,nominal
326,HUASAHUASI II 44,44,-11.965,-74.965,nominal
327,HUASAHUASI I 44,44,-11.93,-74.965,nominal
328,HUASAHUASI I 6,6,-12.07,-74.93,nominal
329,HUAYCOL 0.48,,-12.035,-74.93,nominal
330,HUAYCOLORO 22,,-12.0,-74.93,nominal
331,HUAYLLACHO 15,15,-11.57,-75.97,localidad:HUAYLLACHO
332,HUAYLLACHO 3.,,-11.535,-75.97,localidad:HUAYLLACHO
333,HUINCO 12.5,12.5,-11.85,-76.64999999999999,localidad:HUINCO
334,HUINCO 220,220,-11.815,-76.64999999999999,localidad:HUINCO
335,ILO 13.8 CAT,13.8,-17.64,-71.375,localidad:ILO
336,ILO1 138,138,-17.605,-71.375,localidad:ILO
338,ILOTG1,13.8,-17.57,-71.375,localidad:ILO
339,ILOTG2,13.8,-17.71,-71.34,localidad:ILO
340,CT INDEPENDENCIA 10.5,10.5,-13.629999999999999,-76.27,localidad:INDEPENDENCIA
341,INDUSTRIALES 60,60,-12.055,-77.07,localidad:INDUSTRIALES
342,INFANTAS 60,,-11.965,-74.93,nominal
343,JESUS 33,33,-11.93,-74.93,nominal
344,JULIACA 220,,-15.43,-70.19999999999999,localidad:JULIACA
345,KALLPA 16.5,16.5,-12.58,-76.83,localidad:KALLPA
346,KALLPA 220,,-12.545,-76.83,localidad:KALLPA
347,LA ARENA 22.9,,-12.07,-75.07,nominal
348,LA RAMADA 220,220,-6.62,-79.91999999999999,localidad:LA RAMADA
349,LA_JOYA_ 10,,-12.035,-75.07,nominal
350,LANIÑA 500,,-5.9350000000000005,-80.57,localidad:LANIÑA
351,LA PAJUELA 60,60,-7.035,-78.57,localidad:LA PAJUELA
352,LAS FLORES 16.5,16.5,-12.57,-76.82,localidad:LAS FLORES
353,LAS FLORES 220,220,-12.535,-76.82,localidad:LAS FLORES
354,LLACUABAMBA,,-12.0,-75.07,nominal
355,LURIN 60,,-11.965,-75.07,nominal
356,MACCHUPIC 220,,-11.93,-75.07,nominal
357,MACHUPIC 13.8,,-12.07,-75.035,nominal
358,MALPASO 6.9,,-11.435,-76.07,localidad:MALPASO
359,MANTARO G1 13.8,13.8,-12.355,-74.69999999999999,localidad:MANTARO
360,MANTARO 13.8,,-12.32,-74.69999999999999,localidad:MANTARO
361,MANTARO 500,,-12.285,-74.69999999999999,localidad:MANTARO
362,MAPLE 13.8,,-12.035,-75.035,nominal
363,MATUCANA 12.5,12.5,-11.92,-76.47,localidad:MATUCANA
364,MATUCANA 220,220,-11.885,-76.47,localidad:MATUCANA
365,MAZUCO 138,138,-13.17,-70.44,localidad:MAZUCO
366,MILLSITE 138,138,-12.0,-75.035,nominal
367,MIRADOR 220,,-11.965,-75.035,nominal
368,MIRADOR 60,,-11.93,-75.035,nominal
369,MISAPUQUIO 0.,,-16.47,-71.66999999999999,localidad:MISAPUQUIO
370,MISAPUQUIO 33,33,-16.435,-71.66999999999999,localidad:MISAPUQUIO
371,MOLLENDE 13.8,,-12.07,-75.0,nominal
372,MOLLENDO 13.8,13.8,-17.055,-72.08,localidad:MOLLENDO
373,MOLLENDOE 138,,-17.02,-72.08,localidad:MOLLENDO
374,MONTALVO 500,500,-17.135,-70.97,localidad:MONTALVO
375,MOR 2.4,,-12.035,-75.0,nominal
376,MOROCOCHT 50,,-12.0,-75.0,nominal
377,MOTUPE 10,,-11.965,-75.0,nominal
378,MOTUPE 60,,-11.93,-75.0,nominal
379,MOYOPAMPA 10,,-11.975,-76.77,localidad:MOYOPAMPA
380,MTUNEL 50,,-12.07,-74.965,nominal
381,NARANJAL 60,60,-12.035,-74.965,nominal
382,NCTUMBES 60,60,-3.6399999999999997,-80.52,localidad:NCTUMBES
383,NUEVA IMPERIAL 20,,-12.0,-74.965,nominal
384,OCOÑA 500,,-11.965,-74.965,nominal
385,OLLEROS 16.5,16.5,-12.61,-76.78999999999999,localidad:OLLEROS
386,OLLEROS 500,500,-12.575,-76.78999999999999,localidad:OLLEROS
387,ONOCORA 138,,-11.93,-74.965,nominal
388,ONOCORA 220,,-12.07,-74.93,nominal
389,OQUENDO 13.8,13.8,-12.02,-77.19,localidad:OQUENDO
390,OQUENDO 60,60,-11.985,-77.19,localidad:OQUENDO
391,OROYA 138,,-11.45,-75.97,localidad:OROYA
392,OROYA 69,,-11.59,-75.935,localidad:OROYA
393,CH OROYA 50,50,-11.555,-75.935,localidad:CH OROYA
394,OXIDOS CERRO 138,138,-12.035,-74.93,nominal
395,PACHACAMAC 60,,-12.0,-74.93,nominal
396,PACHACAYO 69,,-11.965,-74.93,nominal
397,CH PACHACHACA 2.4,2.4,-11.65,-76.02,localidad:PACHACHACA
398,PAITA 60,60,-11.93,-74.93,nominal
399,PAMPILLA 60,,-12.07,-75.07,nominal
400,PARAGSH1 138,138,-12.035,-75.07,nominal
401,PARAMONUE 138,138,-12.0,-75.07,nominal
402,PARIAC 66,66,-9.620000000000001,-77.57,localidad:PARIAC
403,PARIAC 13.2,,-9.585,-77.57,localidad:PARIAC
404,PARIÑAS 220,,-11.965,-75.07,nominal
405,PIURA CENTRO 60,60,-5.155,-80.69999999999999,localidad:PIURA
